facility_id,facility_status,name,city,province,beluga_present,beluga_count,beluga_count_year,tank_size,shows_with_beluga,close_contact_programs,welfare_flags,detail_url,info_source_primary,info_source_update,last_checked_date
57,营业中,武汉极地海洋世界,武汉,湖北,1,6,2024,20m * 10m * 10m,白鲸表演,,,,CCA_2024_report,,
58,营业中,长沙（海昌）湘江欢乐海洋公园,长沙,湖南,1,3,2024,,白鲸表演,,,,CCA_2024_report,,
59,营业中,长沙海底世界,长沙,湖南,1,3,2024,15m * 10m * 10m,白鲸表演,,,,CCA_2024_report,,
60,营业中,鄂尔多斯海洋馆三期,鄂尔多斯,内蒙古,0,0,2024,,NA,,,,CCA_2024_report,,
61,营业中,呼和浩特景丰海洋世界,呼和浩特,内蒙古,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
62,营业中,淮安龙宫海洋世界,淮安,江苏,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
63,营业中,南京海底世界,南京,江苏,0,0,2024,,NA,,,,CCA_2024_report,,
64,营业中,苏州海洋馆,苏州,江苏,0,0,2024,,NA,,,,CCA_2024_report,,
65,营业中,泰州溱湖海洋世界,泰州,江苏,0,0,2024,,NA,,,,CCA_2024_report,,
66,在建中,无锡长乔虎鲸海洋世界,无锡,江苏,1,10,2024,,白鲸表演,,,,CCA_2024_report,,
67,营业中,无锡融创海洋世界,无锡,江苏,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
68,营业中,徐州欧乐堡海洋极地世界,徐州,江苏,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
69,营业中,盐城大丰港海洋世界,盐城 ,江苏,0,0,2024,,NA,,,,CCA_2024_report,,
70,营业中,扬州极地海洋世界,扬州,江苏,0,0,2024,,NA,,,,CCA_2024_report,,
71,营业中,赣州龙川极地海洋世界,赣州,江西,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
72,营业中,吉安海洋世界,吉安,江西,1,4,2024,,白鲸表演,,,,CCA_2024_report,,
73,营业中,南昌动物园,南昌,江西,0,0,2024,,NA,,,,CCA_2024_report,,
74,营业中,南昌融创海世界,南昌,江西,0,0,2024,,NA,,,,CCA_2024_report,,
75,营业中,长春中泰海洋世界,长春,吉林,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
76,营业中,延吉恐龙王国,延吉,吉林,0,0,2024,,NA,,,,CCA_2024_report,,
77,营业中,大连老虎滩海洋公园,大连,辽宁,1,3,2024,16m * 5m * 4m,白鲸表演,,,,CCA_2024_report,,
78,营业中,大连圣亚海洋世界,大连,辽宁,1,6,2024,17m * 7m * 6m,白鲸表演,,,,CCA_2024_report,,
79,营业中,抚顺皇家海洋乐园,抚顺,辽宁,1,7,2024,20m * 10m * 5m,白鲸表演,,,,CCA_2024_report,,
80,营业中,西宁新华联童梦乐园,西宁,青海,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
81,营业中,西安幻太奇梦幻海洋馆,西安,陕西,1,5,2024,,白鲸表演,,,,CCA_2024_report,,
82,营业中,西安华夏文旅海洋公园,西安,陕西,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
83,营业中,西安曲江海洋极地公园,西安,陕西,0,0,2024,,NA,,,,CCA_2024_report,,
84,营业中,滨州海底世界,滨州,山东,0,0,2024,,NA,,,,CCA_2024_report,,
85,营业中,济南泉城欧乐堡海洋极地世界,济南,山东,1,6,2024,,白鲸表演,,,,CCA_2024_report,,
86,营业中,济南融创海世界,济南,山东,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
87,在建中,济宁曲阜鲁悦欢乐园海洋世界,济宁,山东,0,0,2024,,NA,,,,CCA_2024_report,,
88,营业中,临沂极地海洋世界,临沂,山东,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
89,营业中,蓬莱欧乐堡海洋极地世界,蓬莱,山东,1,20,2024,20m * 10m * 5m,白鲸表演,,,,CCA_2024_report,,
90,营业中,青岛极地海洋世界,青岛,山东,1,10,2024,,白鲸表演,,,,CCA_2024_report,,
91,营业中,日照海洋公园,日照,山东,0,0,2024,,NA,,,,CCA_2024_report,,
92,营业中,日照奇趣海洋世界,日照,山东,0,0,2024,,NA,,,,CCA_2024_report,,
93,营业中,潍坊寿光极地海洋世界,潍坊,山东,0,0,2024,,NA,,,,CCA_2024_report,,
94,营业中,威海神雕山野生动物园,威海,山东,0,0,2024,,NA,,,,CCA_2024_report,,
95,营业中,威海神遊海洋世界,威海,山东,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
96,营业中,威海威高海洋公园,威海,山东,0,0,2024,,NA,,,,CCA_2024_report,,
97,营业中,上海海昌海洋公园,上海,上海,1,5,2024,,白鲸表演,,,,CCA_2024_report,,
98,营业中,成都极地海洋公园,成都,四川,1,6,2024,20m * 15m * 10m,白鲸表演,,,,CCA_2024_report,,
99,在建中,成都熊猫海洋世界,成都,四川,0,0,2024,,NA,,,,CCA_2024_report,,
100,营业中,天津极地海洋世界,天津,天津,1,8,2024,12m * 6m * 6m,白鲸表演,,,,CCA_2024_report,,
101,营业中,大理海洋世界,大理,云南,0,0,2024,,NA,,,,CCA_2024_report,,
102,营业中,抚仙湖欢乐大世界,抚仙湖,云南,0,0,2024,,NA,,,,CCA_2024_report,,
103,营业中,昆明融创海世界,昆明,云南,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
104,营业中,石林冰雪海洋世界,石林,云南,1,4,2024,20m * 5m * 6m,白鲸表演,,,,CCA_2024_report,,
105,营业中,杭州长乔极地海洋公园,杭州,浙江,1,14,2024,20m * 10m * 10m,白鲸表演,,,,CCA_2024_report,,
106,营业中,横店梦幻岛海豚湾,横店,浙江,0,0,2024,,NA,,,,CCA_2024_report,,
107,营业中,湖州太湖龙之梦海洋世界,湖州,浙江,1,6,2024,,白鲸表演,,,,CCA_2024_report,,
108,营业中,宁波海洋世界,宁波,浙江,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
109,在建中,衢州海洋世界,衢州,浙江,0,0,2024,,NA,,,,CCA_2024_report,,
110,营业中,台州海洋世界,台州,浙江,0,0,2024,,NA,,,,CCA_2024_report,,
111,营业中,温州极地海洋世界,温州,浙江,0,0,2024,,NA,,,,CCA_2024_report,,
112,营业中,舟山长乔极地海洋公园,舟山,浙江,0,0,2024,,NA,,,,CCA_2024_report,,11/30/25
